purchase,1,15,24/12/2021 16:54:52
purchase,8,23,24/12/2021 16:54:59
purchase,6,12,24/12/2021 16:55:09
purchase,2,1,24/12/2021 16:56:33
purchase,10,1,24/12/2021 16:57:43
sale,2,15,24/12/2021 20:21:19
sale,1,15,24/12/2021 20:22:22
sale,3,15,24/12/2021 20:32:14
sale,3,10,24/12/2021 20:32:27
purchase,1,10,24/12/2021 20:32:46
purchase,11,10,24/12/2021 20:33:37
sale,1,100,24/12/2021 20:35:10
sale,1,15,24/12/2021 20:37:33
sale,2,10,24/12/2021 20:37:45
purchase,1,10,24/12/2021 20:38:40
sale,7,15,24/12/2021 20:42:40
sale,6,10,24/12/2021 20:42:52
purchase,10,10,24/12/2021 20:43:17
sale,1,15,24/12/2021 20:44:04
sale,6,90,24/12/2021 20:44:55
